_id,name,address,category,noiseLevel,groupFriendly,hours,description,status,pos,createdBy,createdAt
1,Janyx,58 Orin Road,Library,Moderate,Group Friendly,8:00am - 6:00pm,Spicy salsa made with fresh ingredients.,,89.573856,1,9/15/2025
2,Devpulse,67 Little Fleur Center,Cafe,Loud,Not Group Friendly,8:00am - 6:00pm,"Ready-to-bake garlic breadsticks, perfect with pasta dishes.",,120.16366,2,9/7/2025
3,Gigaclub,6644 Butternut Hill,Student Center,Loud,Group Friendly,11:00am - 5:00pm,Hard-shell case for protecting sunglasses.,,46.2910589,3,2/8/2026
4,Twimbo,4 Reindahl Trail,Academic,Loud,Group Friendly,11:00am - 5:00pm,Quick oatmeal with various flavors,,39.3745033,4,5/21/2025
5,Avaveo,33 High Crossing Lane,Academic,Loud,Group Friendly,8:00am - 6:00pm,Comfortable trainers with mesh inserts for breathability.,,23.8661305,5,2/17/2026
6,Wordify,790 Sheridan Drive,Residence,Quiet,Not Group Friendly,11:00am - 5:00pm,"Fresh kale salad with a zesty lemon dressing, great as a side dish.",,109.3575011,6,11/26/2025
7,Devpulse,7 Toban Alley,Cafe,Moderate,Not Group Friendly,11:00am - 5:00pm,Instant hot water dispenser for tea and cooking.,,-76.1334449,7,2/13/2026
8,Digitube,1 Schiller Drive,Cafe,Quiet,Not Group Friendly,11:00am - 5:00pm,Compact fridge ideal for camping and road trips.,,49.9213133,8,7/31/2025
9,Rhynoodle,84 Summerview Hill,Library,Quiet,Not Group Friendly,11:00am - 5:00pm,Crunchy granola with maple flavor and almond pieces for breakfast.,,-25.145931,9,9/2/2025
10,Skaboo,690 Columbus Center,Library,Loud,Not Group Friendly,24 hour,"Durable canvas tote bag, perfect for everyday use.",,24.1502631,10,6/24/2025
11,Wikido,9 Menomonie Center,Residence,Quiet,Not Group Friendly,8:00am - 6:00pm,Quick oatmeal with various flavors,,111.5811123,11,10/18/2025
12,Shuffledrive,64811 Holy Cross Alley,Student Center,Quiet,Not Group Friendly,8:00am - 6:00pm,"Crispy baked falafel balls, perfect for salads",,-8.270224,12,10/19/2025
13,Dynabox,408 Warrior Plaza,Cafe,Quiet,Not Group Friendly,8:00am - 6:00pm,Rich and sweet paprika spice for seasoning.,,-84.06035,13,3/18/2026
14,Ooba,23919 David Street,Residence,Quiet,Not Group Friendly,8:00am - 6:00pm,Complete tattoo kit for beginners and professionals.,,-38.6779363,14,8/16/2025
15,Demizz,836 Park Meadow Alley,Academic,Loud,Not Group Friendly,24 hour,A mix of frozen roasted vegetables for an easy side dish.,,-80.1986649,15,10/18/2025
16,Blognation,5557 Mosinee Avenue,Residence,Moderate,Group Friendly,24 hour,Shower head designed for a strong spray and complete coverage.,,-83.8539514,16,3/5/2026
17,Avamm,3 Lillian Center,Library,Quiet,Group Friendly,11:00am - 5:00pm,Multi-functional grater for cheese and vegetables.,,2.1450245,17,10/30/2025
18,Youfeed,3 Canary Road,Academic,Quiet,Group Friendly,8:00am - 6:00pm,Delicious pie filled with coconut cream and topped with whipped cream.,,18.0994673,18,9/17/2025
19,Quire,7797 Superior Avenue,Academic,Quiet,Group Friendly,24 hour,Supportive yoga wheel for deep stretching and balance.,,-9.017701,19,8/4/2025
20,Aivee,3 Spaight Lane,Cafe,Moderate,Group Friendly,24 hour,"Soft and comfortable robe, perfect for lounging at home.",,44.4991029,20,7/23/2025
21,Eidel,6 Cardinal Road,Residence,Loud,Not Group Friendly,11:00am - 5:00pm,High-quality matcha for making traditional tea or lattes.,,111.034516,21,2/9/2026
22,Yadel,20232 Summer Ridge Drive,Library,Quiet,Not Group Friendly,24 hour,"Stylish two-tone windbreaker, perfect for active days.",,15.2242807,22,9/1/2025
23,Yacero,7 Briar Crest Avenue,Academic,Loud,Group Friendly,24 hour,Compact electric pot for hot pot dining at home.,,15.6741931,23,1/28/2026
24,Tagchat,63687 Forster Street,Student Center,Loud,Not Group Friendly,11:00am - 5:00pm,"Crunchy, toasted coconut chips for snacking.",,17.9873583,24,3/22/2025
25,Feedmix,01427 Delladonna Street,Student Center,Loud,Not Group Friendly,24 hour,Make delicious ice cream at home with this user-friendly machine.,,119.39402,25,2/11/2026
26,Devpoint,57 Michigan Alley,Cafe,Quiet,Group Friendly,11:00am - 5:00pm,"Marinated chicken breast seasoned with herbs, ready for grilling.",,-83.1702597,26,3/14/2026
27,Tekfly,9863 Rigney Hill,Student Center,Moderate,Group Friendly,11:00am - 5:00pm,Compact hair straightener for travel.,,20.2841743,27,10/3/2025
28,Tekfly,417 Almo Trail,Residence,Quiet,Group Friendly,11:00am - 5:00pm,"Trendy high-low tee with a relaxed fit, ideal for weekends.",,-86.1980589,28,5/10/2025
29,Voomm,31 Cody Terrace,Residence,Quiet,Group Friendly,8:00am - 6:00pm,A fragrant Indian spice blend for curries and stews.,,118.677372,29,4/2/2025
30,Eidel,8 Hayes Way,Cafe,Moderate,Not Group Friendly,11:00am - 5:00pm,"Durable canvas tote bag, perfect for everyday use.",,34.1121629,30,12/21/2025
31,Mybuzz,88 Warner Street,Academic,Moderate,Not Group Friendly,11:00am - 5:00pm,A sleek leather wallet that combines style and functionality.,,69.636351,31,5/24/2025
32,Wikizz,52 Anzinger Crossing,Academic,Moderate,Group Friendly,11:00am - 5:00pm,Rich chocolate syrup for ice cream or beverages.,,119.569323,32,3/4/2026
33,Skivee,0560 Lunder Crossing,Library,Quiet,Not Group Friendly,8:00am - 6:00pm,Wi-Fi camera with motion detection for home security.,,91.9206341,33,1/13/2026
34,Youopia,0 Hagan Road,Academic,Moderate,Not Group Friendly,8:00am - 6:00pm,Compact fire pit for campfires and gatherings.,,112.7688416,34,1/22/2026
35,Yabox,61975 Norway Maple Alley,Residence,Loud,Not Group Friendly,8:00am - 6:00pm,"Gluten-free pasta made from red lentils, packed with protein.",,106.6160052,35,9/10/2025
36,Thoughtmix,799 Village Green Park,Cafe,Quiet,Group Friendly,8:00am - 6:00pm,Convenient hooks that utilize door space for hanging items.,,118.983733,36,10/7/2025
37,Agivu,2 Scott Terrace,Residence,Quiet,Group Friendly,8:00am - 6:00pm,Delicious canned pineapple rings for desserts or salads.,,-41.0165586,37,5/24/2025
38,Gabspot,7 Truax Drive,Residence,Quiet,Not Group Friendly,8:00am - 6:00pm,"Stylish two-tone windbreaker, perfect for active days.",,11.9313139,38,1/1/2026
39,Tagpad,7236 Sherman Plaza,Academic,Loud,Not Group Friendly,11:00am - 5:00pm,A mix of fresh vegetables for quick stir-fries.,,108.2080973,39,8/1/2025
40,Zoovu,3519 Ridgeview Avenue,Academic,Quiet,Group Friendly,11:00am - 5:00pm,Large stir fry pan with non-stick surface.,,16.2037727,40,5/4/2025
41,Linkbridge,7776 Hermina Street,Residence,Moderate,Group Friendly,8:00am - 6:00pm,"A spicy glaze made with sriracha and honey, perfect for meats.",,38.9796562,41,3/6/2026
42,Riffpath,972 Delaware Hill,Cafe,Loud,Not Group Friendly,8:00am - 6:00pm,Compact sewing kit for travel emergencies.,,120.6947522,42,10/15/2025
43,Skipfire,3 Center Center,Academic,Loud,Group Friendly,11:00am - 5:00pm,Delicious pie filled with coconut cream and topped with whipped cream.,,121.006595,43,11/29/2025
44,Fanoodle,154 Merchant Place,Cafe,Loud,Not Group Friendly,8:00am - 6:00pm,Spicy chili sauce for an extra kick in your meals.,,120.070387,44,12/14/2025
45,Ozu,17489 Meadow Vale Road,Academic,Quiet,Group Friendly,24 hour,Portable battery pack to charge laptops while on the move.,,-74.7571147,45,11/3/2025
46,Buzzdog,1657 Springs Plaza,Library,Loud,Group Friendly,8:00am - 6:00pm,Instant noodles with a spicy Thai sauce for quick meals.,,-76.35459,46,7/15/2025
47,Agimba,7273 Dapin Point,Library,Moderate,Group Friendly,11:00am - 5:00pm,Compact digital camera with 20MP resolution.,,-1.6029573,47,4/22/2025
48,Tagopia,8295 Duke Lane,Library,Moderate,Group Friendly,24 hour,Creamy pumpkin soup with spices,,19.4151148,48,11/7/2025
49,Jaxbean,503 Donald Plaza,Library,Loud,Group Friendly,8:00am - 6:00pm,"Crispy baked falafel balls, perfect for salads",,-79.542666,49,6/26/2025
50,Dabtype,46 Kennedy Street,Library,Moderate,Group Friendly,11:00am - 5:00pm,Comfortable wireless headphones designed for sleeping.,,28.266799,50,3/6/2026
51,Feedspan,5311 Kim Trail,Cafe,Moderate,Not Group Friendly,8:00am - 6:00pm,Everything you need to build a festive gingerbread house.,,105.049027,51,7/17/2025
52,Linktype,61473 Crowley Parkway,Student Center,Moderate,Group Friendly,11:00am - 5:00pm,Secure digital wireless security camera system.,,17.1389487,52,1/12/2026
53,Eare,0 Bluestem Street,Student Center,Moderate,Group Friendly,11:00am - 5:00pm,Set with various resistance bands for workouts.,,-7.8993756,53,5/29/2025
54,Browsebug,71475 Roxbury Point,Academic,Quiet,Not Group Friendly,11:00am - 5:00pm,A smoky blend of spices for grilling and roasting.,,101.766228,54,10/28/2025
55,Ntags,85756 Acker Drive,Student Center,Quiet,Group Friendly,11:00am - 5:00pm,Ergonomic stand for laptops to improve posture while working.,,-9.1007778,55,9/12/2025
56,Plambee,14 Graceland Plaza,Residence,Moderate,Not Group Friendly,24 hour,"Crunchy roasted pumpkin seeds, great for snacking.",,4.8398662,56,11/25/2025
57,Agimba,4317 Petterle Circle,Cafe,Quiet,Not Group Friendly,24 hour,Compact Bluetooth speaker with rich sound quality.,,119.141473,57,5/18/2025
58,Topicstorm,18361 Bultman Point,Academic,Quiet,Not Group Friendly,8:00am - 6:00pm,Crunchy granola with almonds and coconut.,,112.6794582,58,1/27/2026
59,Midel,695 Burrows Place,Cafe,Moderate,Group Friendly,11:00am - 5:00pm,Nutritious energy bars packed with chocolate chips.,,-79.4366324,59,8/22/2025
60,LiveZ,36 Hagan Junction,Library,Quiet,Group Friendly,24 hour,"Freshly baked artisan bread, perfect for sandwiches or toasting.",,73.4361761,60,2/11/2026
61,Youspan,17600 International Trail,Library,Moderate,Not Group Friendly,24 hour,Non-stick and reusable mats for easy baking.,,44.0788197,61,3/25/2025
62,Jaloo,20200 Grim Way,Student Center,Moderate,Not Group Friendly,24 hour,A soothing herbal tea made from ginger root.,,16.8352157,62,10/15/2025
63,Mydo,0 Scott Way,Residence,Quiet,Not Group Friendly,11:00am - 5:00pm,"Frozen shrimp seasoned with chili and lime, perfect for quick dinners.",,116.2637946,63,12/3/2025
64,Centidel,026 Spohn Street,Library,Loud,Not Group Friendly,24 hour,"Rich and creamy tomato basil soup, perfect with a grilled cheese.",,36.0186458,64,10/2/2025
65,Skyba,9 Memorial Terrace,Cafe,Moderate,Group Friendly,24 hour,Automated stirring for your drinks with just a press of a button.,,-46.633882,65,9/27/2025
66,Dabshots,744 Washington Terrace,Library,Quiet,Group Friendly,8:00am - 6:00pm,Comfortable and stretchy legging pants perfect for workouts or daily wear.,,116.695522,66,12/21/2025
67,Skajo,16 Granby Circle,Residence,Quiet,Not Group Friendly,11:00am - 5:00pm,Smooth Greek yogurt infused with vanilla bean flavor.,,123.2814017,67,4/23/2025
68,Feednation,994 Ruskin Court,Cafe,Quiet,Group Friendly,8:00am - 6:00pm,Warm and stylish jacket for cold weather.,,135.5286653,68,3/31/2025
69,Roodel,530 Duke Street,Library,Quiet,Group Friendly,8:00am - 6:00pm,"Crunchy granola with toasted coconut flakes, perfect for breakfast or snacks.",,14.8470274,69,11/30/2025
70,Kwinu,69761 Blaine Point,Library,Quiet,Not Group Friendly,8:00am - 6:00pm,A chic leather crossbody bag for everyday use.,,25.431687,70,6/26/2025
71,Tagcat,30248 Main Alley,Residence,Quiet,Group Friendly,24 hour,Heat-sensitive mug that changes color when filled with hot liquid.,,117.3247325,71,9/23/2025
72,Snaptags,20206 Eagan Place,Cafe,Quiet,Not Group Friendly,24 hour,"Non-stick griddle for pancakes, burgers, and more.",,38.7368187,72,6/18/2025
73,Mynte,9 Portage Park,Residence,Loud,Group Friendly,8:00am - 6:00pm,Adjustable footrest for improved comfort while sitting.,,15.2414232,73,4/24/2025
74,Buzzster,08 Elgar Drive,Academic,Moderate,Not Group Friendly,8:00am - 6:00pm,Portable chess set with magnetic pieces for travel.,,-8.1447804,74,12/31/2025
75,Eire,030 High Crossing Avenue,Library,Loud,Group Friendly,8:00am - 6:00pm,"Bartender kit with shaker, jigger, and strainer.",,116.262661,75,5/22/2025
76,Fivechat,16055 Fairview Avenue,Academic,Loud,Group Friendly,24 hour,Space-saving broom holder for organized cleaning supplies.,,7.907355,76,3/8/2026
77,Kwideo,27 Monument Junction,Library,Loud,Group Friendly,8:00am - 6:00pm,"Crispy on the outside, tender on the inside, perfect for stir-fries or salads.",,126.6607764,77,6/11/2025
78,Edgeclub,6536 Morningstar Pass,Residence,Moderate,Not Group Friendly,11:00am - 5:00pm,Light and fluffy popcorn coated in aged white cheddar.,,-86.6548114,78,9/4/2025
79,Dablist,7007 Superior Parkway,Student Center,Quiet,Group Friendly,24 hour,Refreshing cranberry juice with no added sugar.,,123.9327724,79,10/25/2025
80,Topiclounge,88 Cottonwood Road,Library,Quiet,Group Friendly,8:00am - 6:00pm,Classic chicken noodle soup with tender chicken and vegetables.,,109.934086,80,7/6/2025
81,Kaymbo,1 Graedel Center,Cafe,Quiet,Not Group Friendly,24 hour,"Crunchy granola with chocolate and coconut, great for breakfast or snacks.",,121.1394301,81,10/18/2025
82,Latz,4772 Autumn Leaf Street,Residence,Moderate,Group Friendly,24 hour,Chocolate-covered candy bars with coconut and almonds.,,-48.7837539,82,7/3/2025
83,Feedspan,8479 John Wall Street,Library,Loud,Group Friendly,11:00am - 5:00pm,"Healthy whole grain cereal, great for breakfast.",,117.893335,83,3/25/2025
84,Edgeblab,133 Cherokee Way,Library,Loud,Not Group Friendly,24 hour,Scented bath salts for relaxation and self-care.,,21.3639876,84,3/9/2026
85,Skyble,984 Memorial Center,Library,Quiet,Not Group Friendly,24 hour,Color-changing 3D night light for kids' rooms.,,21.89472,85,1/4/2026
86,Zooveo,62 Schurz Lane,Residence,Quiet,Not Group Friendly,8:00am - 6:00pm,Flour tortilla filled with cheese and a medley of vegetables.,,-77.1708039,86,9/27/2025
87,Wordtune,6544 Debs Court,Cafe,Moderate,Group Friendly,11:00am - 5:00pm,Instant mix for creamy vanilla pudding.,,-67.7134201,87,10/2/2025
88,Feedbug,96 Ilene Point,Cafe,Moderate,Not Group Friendly,11:00am - 5:00pm,Set of stylish throw pillows for home decor.,,123.9321966,88,11/2/2025
89,Twinder,0656 Rieder Alley,Residence,Quiet,Group Friendly,11:00am - 5:00pm,Large stir fry pan with non-stick surface.,,8.4239055,89,6/16/2025
90,Rhynyx,656 Cambridge Avenue,Academic,Quiet,Not Group Friendly,8:00am - 6:00pm,Durable tarp for outdoor camping and protection.,,-87.4554432,90,4/12/2025
91,Meembee,054 Cordelia Crossing,Cafe,Quiet,Group Friendly,24 hour,Adjustable phone mount for car dashboard.,,13.7233116,91,4/15/2025
92,Browsedrive,4598 Lakewood Plaza,Student Center,Moderate,Not Group Friendly,8:00am - 6:00pm,Foldable kneeler that doubles as a seat for gardening convenience.,,111.982232,92,5/13/2025
93,Plambee,479 Oneill Pass,Residence,Loud,Not Group Friendly,11:00am - 5:00pm,"A variety pack of classic, roasted red pepper, and garlic hummus.",,2.8002946,93,10/6/2025
94,Livetube,9 Scofield Parkway,Academic,Quiet,Group Friendly,11:00am - 5:00pm,Foldable chair equipped with a cooler pouch.,,2.5525914,94,10/11/2025
95,Realpoint,40063 Melody Avenue,Cafe,Moderate,Not Group Friendly,8:00am - 6:00pm,Crispy dill pickles that are perfect for snacking or sandwiches.,,31.4620967,95,8/25/2025
96,Trilith,07064 Gulseth Junction,Student Center,Loud,Group Friendly,24 hour,Nutritious chia seeds great for smoothies,,109.1880047,96,3/21/2025
